,,2017_UL,,,,,,,,,,,,,,,,
,"Samples are ordered by categories, then within each category, alphanumerically.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Data,,,,,,,,,,,,,,,,
,sample_subsample,Full DAS string,nEvtTotal,"Lumi (pb-1)
(Golden JSON)",,,,True value,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Muon_B,/SingleMuon/Run2017B-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,136300266,,,,,136300266,,,,,,,,,,
,Muon_C,/SingleMuon/Run2017C-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,165652756,,,,,165652756,,,,,,,,,,
,Muon_D,/SingleMuon/Run2017D-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,70361660,,,,,70361660,,,,,,,,,,
,Muon_E,/SingleMuon/Run2017E-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,154618774,,,,,154618774,,,,,,,,,,
,Muon_F,/SingleMuon/Run2017F-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,242140980,,,,,242140980,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,EGamma_B,/SingleElectron/Run2017B-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,60537490,,,,,60537490,,,,,,,,,,
,EGamma_C,/SingleElectron/Run2017C-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,136637888,,,,,136637888,,,,,,,,,,
,EGamma_D,/SingleElectron/Run2017D-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,51512837,,,,,51512837,,,,,,,,,,
,EGamma_E,/SingleElectron/Run2017E-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,102122055,,,,,102122055,,,,,,,,,,
,EGamma_F,/SingleElectron/Run2017F-UL2017_MiniAODv2_NanoAODv9-v1/NANOAOD,128467223,,,,,128467223,,,,,,,,,,
,,,Total,41480.0000,,,,,,,,,,,,,,
,,Golden JSON = Cert_294927-306462_13TeV_UL2017_Collisions17_GoldenJSON.txt,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,MC (SM backgrounds),,,,,,,,,,,,,,,,
,sample_subsample,Full DAS string,xSec (pb),xSec (pb) (used),nEvtGen,nEvtPass,Accp (%),Lumi (pb-1),SumGenWt,AvgGenWt,Comments/Source,,,,,,,
,,,,,,,,,,,,,,,,,,
,Single W production,,,,,,,,,,,,,,,,,
,WtoLNu_Inclusive,/WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v2/NANOAODSIM,6.748e+04 +- 6.117e+02,67480.0000,26454101,,0.000,392.029,4554875114912,172180.302589,,,,,,,,
,WtoLNu_70to100,/WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,1.267e+03 +- 5.402e+00,1267.0000,44576510,,0.000,35182.723,44576510,1.000000,,,,,,,,
,WtoLNu_100to200,/WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,1.259e+03 +- 5.438e+00,1259.0000,47424468,,0.000,37668.362,47424468,1.000000,,,,,,,,
,WtoLNu_200to400,/WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17NanoAODv9-106X_mc2017_realistic_v9-v1/NANOAODSIM,3.372e+02 +- 1.513e+00,337.2000,42281979,,0.000,125391.397,42281979,1.000000,,,,,,,,
